iter	Passed	Remaining
0	191	95474
1	233	58075
2	274	45509
3	320	39699
4	360	35721
5	400	33009
6	443	31240
7	485	29870
8	528	28806
9	570	27942
10	610	27157
11	653	26576
12	703	26349
13	742	25775
14	785	25387
15	822	24866
16	865	24584
17	907	24304
18	951	24097
19	999	23978
20	1038	23694
21	1078	23442
22	1117	23177
23	1157	22966
24	1196	22741
25	1233	22496
26	1272	22289
27	1311	22101
28	1347	21890
29	1389	21763
30	1429	21620
31	1457	21319
32	1498	21207
33	1535	21048
34	1577	20961
35	1609	20741
36	1642	20558
37	1681	20443
38	1714	20261
39	1749	20113
40	1784	19972
41	1817	19815
42	1854	19708
43	1892	19609
44	1930	19522
45	1965	19397
46	1998	19260
47	2025	19075
48	2057	18937
49	2089	18805
50	2124	18700
51	2161	18618
52	2194	18508
53	2232	18437
54	2267	18349
55	2304	18268
56	2335	18149
57	2366	18037
58	2399	17935
59	2437	17876
60	2470	17780
61	2501	17672
62	2535	17590
63	2572	17526
64	2609	17464
65	2644	17387
66	2693	17406
67	2743	17427
68	2784	17395
69	2834	17410
70	2873	17360
71	2910	17302
72	2958	17305
73	2989	17210
74	3026	17148
75	3056	17053
76	3092	16988
77	3123	16899
78	3157	16824
79	3189	16742
80	3219	16655
81	3256	16601
82	3291	16536
83	3324	16465
84	3359	16403
85	3391	16326
86	3426	16267
87	3457	16189
88	3491	16123
89	3528	16072
90	3557	15990
91	3589	15920
92	3623	15855
93	3657	15797
94	3695	15754
95	3731	15703
96	3762	15629
97	3796	15572
98	3827	15501
99	3863	15455
100	3894	15386
101	3927	15323
102	3956	15251
103	3989	15189
104	4024	15138
105	4053	15066
106	4084	15001
107	4115	14937
108	4144	14866
109	4176	14806
110	4206	14741
111	4234	14670
112	4269	14620
113	4301	14565
114	4335	14512
115	4370	14469
116	4403	14415
117	4432	14349
118	4468	14306
119	4502	14259
120	4537	14213
121	4567	14152
122	4596	14088
123	4631	14042
124	4668	14005
125	4698	13947
126	4729	13890
127	4763	13844
128	4798	13799
129	4830	13747
130	4859	13688
131	4892	13639
132	4929	13602
133	4960	13548
134	4992	13497
135	5023	13444
136	5055	13395
137	5088	13348
138	5118	13293
139	5151	13245
140	5182	13195
141	5215	13149
142	5249	13106
143	5280	13055
144	5310	13000
145	5341	12951
146	5374	12906
147	5406	12857
148	5440	12815
149	5472	12768
150	5501	12715
151	5534	12671
152	5564	12619
153	5593	12567
154	5630	12531
155	5663	12488
156	5709	12473
157	5738	12420
158	5770	12376
159	5801	12328
160	5836	12289
161	5869	12246
162	5899	12196
163	5932	12153
164	5962	12106
165	5995	12063
166	6025	12015
167	6057	11970
168	6086	11921
169	6118	11877
170	6153	11838
171	6186	11798
172	6218	11753
173	6247	11705
174	6280	11664
175	6311	11619
176	6343	11575
177	6376	11534
178	6403	11483
179	6437	11443
180	6464	11393
181	6500	11358
182	6530	11311
183	6563	11271
184	6598	11234
185	6634	11199
186	6673	11170
187	6717	11147
188	6754	11114
189	6787	11073
190	6820	11034
191	6854	10995
192	6889	10959
193	6926	10925
194	6961	10887
195	6998	10854
196	7033	10817
197	7068	10781
198	7097	10735
199	7133	10700
200	7166	10660
201	7201	10623
202	7234	10585
203	7269	10548
204	7300	10505
205	7340	10475
206	7376	10441
207	7407	10399
208	7442	10362
209	7472	10319
210	7505	10280
211	7539	10242
212	7569	10199
213	7599	10156
214	7632	10117
215	7669	10084
216	7708	10052
217	7745	10019
218	7779	9982
219	7813	9944
220	7844	9903
221	7880	9868
222	7910	9826
223	7944	9788
224	7977	9749
225	8006	9707
226	8039	9668
227	8069	9626
228	8104	9590
229	8136	9551
230	8171	9515
231	8209	9483
232	8245	9448
233	8281	9413
234	8313	9374
235	8344	9334
236	8376	9295
237	8406	9254
238	8438	9214
239	8468	9174
240	8501	9136
241	8537	9101
242	8571	9065
243	8603	9026
244	8637	8989
245	8672	8954
246	8705	8917
247	8738	8879
248	8773	8844
249	8802	8802
250	8837	8766
251	8867	8726
252	8901	8690
253	8933	8652
254	8964	8613
255	8990	8568
256	9020	8528
257	9052	8491
258	9085	8454
259	9120	8418
260	9152	8381
261	9191	8349
262	9225	8313
263	9256	8274
264	9287	8236
265	9317	8196
266	9351	8161
267	9382	8121
268	9417	8087
269	9449	8049
270	9479	8010
271	9516	7976
272	9549	7940
273	9580	7902
274	9614	7866
275	9649	7831
276	9685	7797
277	9720	7762
278	9755	7727
279	9788	7690
280	9823	7656
281	9857	7620
282	9890	7584
283	9928	7551
284	9966	7518
285	10006	7487
286	10046	7456
287	10079	7419
288	10113	7383
289	10148	7348
290	10181	7312
291	10214	7275
292	10252	7243
293	10288	7209
294	10324	7174
295	10358	7139
296	10400	7108
297	10434	7073
298	10478	7043
299	10510	7007
300	10547	6973
301	10585	6939
302	10617	6902
303	10651	6867
304	10685	6832
305	10717	6794
306	10752	6759
307	10784	6722
308	10819	6687
309	10853	6652
310	10889	6617
311	10928	6585
312	10969	6553
313	11021	6528
314	11068	6500
315	11114	6471
316	11161	6443
317	11193	6406
318	11231	6372
319	11266	6337
320	11302	6302
321	11332	6264
322	11372	6231
323	11407	6196
324	11446	6163
325	11480	6127
326	11516	6092
327	11552	6058
328	11586	6022
329	11622	5987
330	11661	5953
331	11700	5920
332	11730	5882
333	11762	5845
334	11796	5810
335	11831	5774
336	11865	5739
337	11901	5704
338	11938	5669
339	11978	5636
340	12016	5603
341	12053	5568
342	12084	5531
343	12121	5496
344	12154	5460
345	12193	5426
346	12228	5391
347	12265	5357
348	12297	5320
349	12334	5286
350	12366	5249
351	12402	5214
352	12432	5177
353	12466	5141
354	12499	5105
355	12536	5070
356	12568	5034
357	12602	4998
358	12640	4964
359	12679	4931
360	12712	4894
361	12749	4860
362	12783	4824
363	12815	4788
364	12849	4752
365	12887	4718
366	12929	4685
367	12962	4649
368	12996	4613
369	13033	4579
370	13067	4543
371	13106	4509
372	13145	4475
373	13179	4440
374	13217	4405
375	13249	4369
376	13281	4333
377	13315	4297
378	13350	4262
379	13388	4227
380	13419	4191
381	13452	4155
382	13488	4120
383	13523	4085
384	13555	4049
385	13591	4014
386	13626	3978
387	13665	3944
388	13694	3907
389	13728	3872
390	13761	3836
391	13793	3800
392	13831	3765
393	13877	3733
394	13912	3698
395	13949	3663
396	13989	3629
397	14027	3594
398	14062	3559
399	14099	3524
400	14137	3490
401	14175	3455
402	14208	3419
403	14241	3384
404	14281	3349
405	14316	3314
406	14356	3280
407	14388	3244
408	14425	3209
409	14461	3174
410	14493	3138
411	14529	3103
412	14564	3068
413	14601	3033
414	14638	2998
415	14677	2963
416	14707	2927
417	14737	2891
418	14772	2855
419	14807	2820
420	14837	2784
421	14874	2749
422	14906	2713
423	14938	2677
424	14970	2641
425	15009	2607
426	15039	2571
427	15072	2535
428	15104	2499
429	15139	2464
430	15173	2429
431	15212	2394
432	15250	2359
433	15290	2325
434	15325	2290
435	15357	2254
436	15394	2219
437	15429	2184
438	15464	2148
439	15500	2113
440	15531	2077
441	15562	2042
442	15601	2007
443	15649	1973
444	15687	1938
445	15729	1904
446	15766	1869
447	15797	1833
448	15833	1798
449	15871	1763
450	15908	1728
451	15945	1693
452	15981	1658
453	16014	1622
454	16053	1587
455	16089	1552
456	16129	1517
457	16165	1482
458	16199	1447
459	16233	1411
460	16268	1376
461	16310	1341
462	16345	1306
463	16379	1270
464	16413	1235
465	16451	1200
466	16487	1165
467	16519	1129
468	16556	1094
469	16598	1059
470	16649	1025
471	16688	989
472	16730	955
473	16767	919
474	16802	884
475	16834	848
476	16871	813
477	16902	777
478	16935	742
479	16964	706
480	17002	671
481	17035	636
482	17081	601
483	17119	565
484	17152	530
485	17185	495
486	17221	459
487	17258	424
488	17292	389
489	17330	353
490	17364	318
491	17394	282
492	17432	247
493	17480	212
494	17515	176
495	17568	141
496	17613	106
497	17653	70
498	17687	35
499	17732	0
